id,filerId,filingId,filerName,filingDate,departmentName,positionName,offices,periodStart,periodEnd,entityName,address,city,state,zip,businessType,description,natureOfInvestment,natureOfInvestment_OtherDescription,businessPosition,dateAcquired,dateDisposed,fairMarketValueScheduleA2,fairMarketValueScheduleA2AsRange,grossIncomeReceived,grossIncomeReceivedAsRange,incomeSources,realProperty_investmentType,realProperty_businessName,realProperty_parcelAddress,realProperty_descriptionOrCityOrLocation,realProperty_dateAcquired,realProperty_dateDisposed,realProperty_fairMarketValue,realProperty_fairMarketValueAsRange,realProperty_natureOfInterest,realProperty_natureOfInterest_LeaseYearsRemaining,realProperty_natureOfInterest_OtherDescription
d304ff4c41b946688fcdaa60336ce653,SFO-162464,207707138,"Liao, Jay",04/08/2023 05:15:31 PM,Controller Office of the,Refuse Rate Administrator,Refuse Rate Administrator - Controller Office of the,12/12/2021,12/12/2022,Jay Marcus Liao and Meghan Frances Liao Living Trust,[REDACTED],San Francisco,CA,94114,Trust,,Unset,,,,,,Unset,250,$0 - $499,,,,,,,,,,,,
e89719a4f4d6461b886b0cef549782e8-1,SFO-162236,207699816,"Lin, Royce",04/07/2023 10:27:50 AM,Public Health Department of,Supervising Physician Specialist,Supervising Physician Specialist - Public Health Department of,10/19/2021,10/19/2022,Doughty Lin Family Living Trust,[REDACTED],San Francisco,CA,94110,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000",,Real Property,"1150 Folsom St #7, San Francisco CA 94103",[REDACTED],"1150 Folsom St #7, San Francisco CA 94103",,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
d84b59e5ce4249a7acfbcaa306799c1f,SFO-153904,207697829,"Lee, Tommy",04/07/2023 06:58:51 AM,Residential Users Appeal Board,Member,Member - Residential Users Appeal Board,01/01/2022,12/31/2022,Hafco Inc.,[REDACTED],San Francisco,ca,94112,Business Entity,elderly care facility,Partnership,,Partner,,,100000,"$100,001 - $1,000,000",10000,"$10,001 - $100,000",Profit sharing/rent,,,,,,,,,,,
4f8246a2881b40d6bac3c689dbeb85d7,SFO-162318,207693724,"Moore, Dwight",04/06/2023 03:09:18 PM,City Attorney Office of the,"Investigators, Public Integrity & Investigations Team","Investigators, Public Integrity & Investigations Team - City Attorney Office of the",03/12/2022,03/12/2023,HSV,[REDACTED],SAN FRANCISCO,CA,94117,Business Entity,REAL ESTATE COMPANY,Other,NONE (WIFE'S FAMILY BUSINESS) ,NONE ,,,100000,"$100,001 - $1,000,000",250,$0 - $499,,,,,,,,,,,,
090d4ef428cd4b8d8ed75dd4cafc012d,SFO-162318,207693724,"Moore, Dwight",04/06/2023 03:09:18 PM,City Attorney Office of the,"Investigators, Public Integrity & Investigations Team","Investigators, Public Integrity & Investigations Team - City Attorney Office of the",03/12/2022,03/12/2023,HSM INVESTMENT GROUP,[REDACTED],SAN FRANCISCO,CA,94117,Business Entity,REAL ESTATE DEVELOPMENT,Other,NONE (WIFE'S FAMILY BUSINESS) ,NONE,,,100000,"$100,001 - $1,000,000",250,$0 - $499,,,,,,,,,,,,
a71de19334da402ab0b536909a71b4f4,SFO-162318,207693724,"Moore, Dwight",04/06/2023 03:09:18 PM,City Attorney Office of the,"Investigators, Public Integrity & Investigations Team","Investigators, Public Integrity & Investigations Team - City Attorney Office of the",03/12/2022,03/12/2023,HSM,[REDACTED],SAN FRANCISCO,CA,94117,Business Entity,REAL ESTATE COMPANY,Other,THIS IS MY WIFE'S FAMILY BUSINESS (CORPORATION),NONE,,,100000,"$100,001 - $1,000,000",250,$0 - $499,,,,,,,,,,,,
f5eaae55785d41be884eb50c00979a94,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,Array Ventures Management LLC,[REDACTED],San Francisco,CA,94110,Business Entity,Venture Capital,Other,LLC,General Partner,,,1000,"$0 - $1,999",100000,"Over $100,000",,,,,,,,,,,,
8c1ce947c18644ffb49cdce234c6bce0,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,Array GP Ventures III LLC,[REDACTED],San Francisco,CA,94110,Business Entity,Venture Capital,Other,LLC,General Partner,,,1000,"$0 - $1,999",100000,"Over $100,000",,,,,,,,,,,,
5031ed0d1211414aaa8d7f8c97050a9b,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,Overview Corporation,[REDACTED],San Francisco,CA,94110,Business Entity,Startup,Other,C-corp,,,,1000000,"Over $1,000,000",10000,"$10,001 - $100,000",,,,,,,,,,,,
453b83eafa4f4124aa3e7b631a7162fd-1,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,Array Venture Partners II LLC,[REDACTED],San Francisco,CA,94110,Business Entity,Venture Capital,Other,LLC,General Partner,,,1000,"$0 - $1,999",100000,"Over $100,000",,Investment,"Array Ventures II, LP",[REDACTED],Investment Fund,,,1000000,"Over $1,000,000",Partnership,,
